,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,1990,2960.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
1,1991,2740.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
2,1992,1430.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
3,1993,1360.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
4,1994,1300.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
5,1995,1250.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
6,1996,1180.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
7,1997,1100.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
8,1998,1050.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
9,1999,820.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
10,2000,770.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
11,2001,810.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
12,2002,1100.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
13,2003,1350.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
14,2004,1130.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
15,2005,1640.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
16,2006,1940.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
17,2007,2360.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
18,2008,4390.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
19,2009,6000.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
20,2010,8670.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
21,2011,12260.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
22,2012,10450.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
23,2013,8510.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
24,2014,7810.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
25,2015,7990.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
26,2016,7390.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
27,2017,7380.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
28,2018,7440.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
29,1990,6050.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
30,1991,4110.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
31,1992,2240.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
32,1993,2070.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
33,1994,2140.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
34,1995,1950.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
35,1996,1970.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
36,1997,1480.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
37,1998,1800.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
38,1999,2970.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
39,2000,3170.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
40,2001,3220.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
41,2002,3750.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
42,2003,4110.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
43,2004,4290.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
44,2005,4070.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
45,2006,4050.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
46,2007,4220.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
47,2008,4170.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
48,2009,4320.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
49,2010,4580.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
50,2011,5040.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
51,2012,4580.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
52,2013,4790.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
53,2014,5220.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
54,2015,5070.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
55,2016,4930.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
56,2017,5600.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
57,2018,5560.0,EN.ATM.CO2E.KT,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
58,1990,67890.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
59,1991,66940.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
60,1992,66160.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
61,1993,73470.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
62,1994,71550.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
63,1995,73050.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
64,1996,71410.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
65,1997,72830.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
66,1998,74540.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
67,1999,77540.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
68,2000,78590.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
69,2001,74770.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
70,2002,80410.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
71,2003,83840.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
72,2004,84890.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
73,2005,88990.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
74,2006,93750.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
75,2007,100520.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
76,2008,103990.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
77,2009,112770.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
78,2010,113140.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
79,2011,118140.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
80,2012,126640.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
81,2013,129910.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
82,2014,138810.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
83,2015,145970.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
84,2016,143350.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
85,2017,145100.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
86,2018,151670.0,EN.ATM.CO2E.KT,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
87,1990,410.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
88,1991,410.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
89,1992,410.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
90,1993,410.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
91,1994,410.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
92,1995,430.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
93,1996,450.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
94,1997,470.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
95,1998,490.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
96,1999,510.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
97,2000,520.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
98,2001,520.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
99,2002,530.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
100,2003,530.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
101,2004,560.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
102,2005,580.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
103,2006,550.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
104,2007,540.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
105,2008,540.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
106,2009,520.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
107,2010,520.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
108,2011,490.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
109,2012,490.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
110,2013,480.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
111,2014,460.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
112,2015,470.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
113,2016,470.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
114,2017,470.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
115,2018,460.0,EN.ATM.CO2E.KT,AND,Andorra,Europe & Central Asia,High income,Not classified
116,1990,6330.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
117,1991,6530.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
118,1992,6370.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
119,1993,6900.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
120,1994,6690.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
121,1995,10780.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
122,1996,11410.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
123,1997,11730.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
124,1998,11370.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
125,1999,12650.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
126,2000,12370.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
127,2001,12910.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
128,2002,13620.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
129,2003,18010.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
130,2004,19290.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
131,2005,18210.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
132,2006,20340.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
133,2007,23490.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
134,2008,25080.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
135,2009,27150.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
136,2010,28530.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
137,2011,29460.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
138,2012,30250.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
139,2013,32820.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
140,2014,34630.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
141,2015,35160.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
142,2016,35410.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
143,2017,30840.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
144,2018,27340.0,EN.ATM.CO2E.KT,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
145,1990,210.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
146,1991,220.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
147,1992,290.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
148,1993,250.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
149,1994,250.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
150,1995,270.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
151,1996,280.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
152,1997,300.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
153,1998,330.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
154,1999,330.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
155,2000,330.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
156,2001,350.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
157,2002,390.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
158,2003,410.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
159,2004,400.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
160,2005,410.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
161,2006,440.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
162,2007,460.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
163,2008,480.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
164,2009,1390.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
165,2010,490.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
166,2011,510.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
167,2012,720.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
168,2013,470.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
169,2014,480.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
170,2015,490.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
171,2016,500.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
172,2017,500.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
173,2018,530.0,EN.ATM.CO2E.KT,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
174,1990,99840.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
